task,comparison,metric,mean_difference,standard_error
assemble,collective_constitutive - collective_diagnostic,success,0.8,0.0917662935482247
assemble,collective_constitutive - collective_diagnostic,viability,0.08206054738033078,0.021074766157167347
assemble,collective_constitutive - collective_diagnostic,architecture_score,0.5199788122861999,0.053345634201606866
assemble,collective_constitutive - collective_diagnostic,formation_rmse,-0.015437246498871363,0.0047677060349084486
assemble,collective_constitutive - collective_diagnostic,energy,-4.15146375,0.8528704662388552
assemble,collective_constitutive - individual_constitutive,success,0.55,0.11413288653790231
assemble,collective_constitutive - individual_constitutive,viability,0.05372989335165842,0.0160767914497502
assemble,collective_constitutive - individual_constitutive,architecture_score,0.37264869759211383,0.0711807314275232
assemble,collective_constitutive - individual_constitutive,formation_rmse,-0.007970182624614066,0.0026417821519079347
assemble,collective_constitutive - individual_constitutive,energy,-2.7551475000000005,0.717581305144645
assemble,collective_constitutive - communication_only,success,0.8,0.0917662935482247
assemble,collective_constitutive - communication_only,viability,0.11426909106360236,0.018383560522256523
assemble,collective_constitutive - communication_only,architecture_score,0.5199788122861999,0.053345634201606866
assemble,collective_constitutive - communication_only,formation_rmse,0.005635856638036468,0.006302429165768595
assemble,collective_constitutive - communication_only,energy,-10.598883749999988,0.7309037492889104
assemble,collective_constitutive - random_joint,success,0.2,0.13764944032233706
assemble,collective_constitutive - random_joint,viability,-0.0030632399170315407,0.005665795350963912
assemble,collective_constitutive - random_joint,architecture_score,0.13802327301339057,0.07994470752420674
assemble,collective_constitutive - random_joint,formation_rmse,0.0036971992934806616,0.0034107591216836685
assemble,collective_constitutive - random_joint,energy,0.07496999999999947,0.45957861950406587
repair,collective_constitutive - collective_diagnostic,success,0.9,0.06882472016116853
repair,collective_constitutive - collective_diagnostic,viability,0.019984764243714297,0.0028840180571890377
repair,collective_constitutive - collective_diagnostic,architecture_score,0.491341765999485,0.03988689419434442
repair,collective_constitutive - collective_diagnostic,formation_rmse,-0.004002594304848844,0.0013689151300648442
repair,collective_constitutive - collective_diagnostic,energy,-1.461914999999999,0.20241169285056512
repair,collective_constitutive - individual_constitutive,success,0.75,0.09933992677987828
repair,collective_constitutive - individual_constitutive,viability,0.01673838997291603,0.003309181103827345
repair,collective_constitutive - individual_constitutive,architecture_score,0.41403292247810775,0.05607870052258398
repair,collective_constitutive - individual_constitutive,formation_rmse,-0.0034542945932394716,0.0013068211632659998
repair,collective_constitutive - individual_constitutive,energy,-1.1901487499999992,0.2304621640975147
repair,collective_constitutive - communication_only,success,0.9,0.06882472016116853
repair,collective_constitutive - communication_only,viability,0.05221375700501825,0.004472445087506923
repair,collective_constitutive - communication_only,architecture_score,0.491341765999485,0.03988689419434442
repair,collective_constitutive - communication_only,formation_rmse,0.01284829273926158,0.0030455640477467885
repair,collective_constitutive - communication_only,energy,-7.309574999999997,0.31006474642191073
repair,collective_constitutive - random_joint,success,0.15,0.13128915456069917
repair,collective_constitutive - random_joint,viability,-0.004326440159537787,0.0043860647927222544
repair,collective_constitutive - random_joint,architecture_score,0.0814670495395176,0.07112646369123926
repair,collective_constitutive - random_joint,formation_rmse,-0.00030313490961002,0.0010326948864447058
repair,collective_constitutive - random_joint,energy,0.29987999999999915,0.3381313663940001
reconfigure,collective_constitutive - collective_diagnostic,success,1.0,0.0
reconfigure,collective_constitutive - collective_diagnostic,viability,0.062096917610371546,0.0029207741316744727
reconfigure,collective_constitutive - collective_diagnostic,architecture_score,0.3733744795448785,0.010087436892405958
reconfigure,collective_constitutive - collective_diagnostic,formation_rmse,0.018683986384656806,0.003127825448965367
reconfigure,collective_constitutive - collective_diagnostic,energy,0.5154187499999998,0.0879889487654669
reconfigure,collective_constitutive - individual_constitutive,success,0.6,0.11239029738980327
reconfigure,collective_constitutive - individual_constitutive,viability,0.036683711108471316,0.007263313651076822
reconfigure,collective_constitutive - individual_constitutive,architecture_score,0.22433684021477637,0.04283906812150933
reconfigure,collective_constitutive - individual_constitutive,formation_rmse,0.011205683416634481,0.003312145017657795
reconfigure,collective_constitutive - individual_constitutive,energy,0.30925124999999964,0.07230228552192572
reconfigure,collective_constitutive - communication_only,success,1.0,0.0
reconfigure,collective_constitutive - communication_only,viability,0.11086840517819793,0.0044242262500917865
reconfigure,collective_constitutive - communication_only,architecture_score,0.3733744795448785,0.010087436892405958
reconfigure,collective_constitutive - communication_only,formation_rmse,0.016903309291734933,0.004613282647128773
reconfigure,collective_constitutive - communication_only,energy,-6.484904999999993,0.18663417368788032
reconfigure,collective_constitutive - random_joint,success,1.0,0.0
reconfigure,collective_constitutive - random_joint,viability,0.08971850336493256,0.009034796015966871
reconfigure,collective_constitutive - random_joint,architecture_score,0.3525026416271082,0.015494253776160462
reconfigure,collective_constitutive - random_joint,formation_rmse,-0.02114979264701871,0.011143665930590164
reconfigure,collective_constitutive - random_joint,energy,-1.3400887499999992,0.3858538405382809
