task,metric,constitutive_minus_diagnostic,se
construct,success,0.95,0.049999999999999996
construct,viability,0.7555518518004203,0.020567927670751412
construct,final_gap,-26.570837607475816,0.8574345290321812
construct,architecture_score,0.7478240137771218,0.03091984206249418
stabilize,success,0.95,0.05000000000000001
stabilize,viability,0.004809795123609966,0.0009738437868770444
stabilize,final_gap,-8.229753459216486,0.600597316849325
stabilize,architecture_score,0.49487845104417216,0.029050200072132513
transform,success,1.0,0.0
transform,viability,0.09024771324010614,0.004813615123443884
transform,final_gap,0.0,0.0
transform,architecture_score,0.33464109198653247,0.010103343855157725
