condition,task,missions,success_rate,success_rate_se,collision_rate,collision_rate_se,viability,viability_se,mean_gap,mean_gap_se,final_gap,final_gap_se,architecture_score,architecture_score_se,boundary_precision,boundary_precision_se,role_accuracy,role_accuracy_se,blanket_accuracy,blanket_accuracy_se,exact_partition,exact_partition_se,causal_changes,causal_changes_se,recovery_delay,recovery_delay_se
constitutive,construct,20,0.95,0.049999999999999996,0.0,0.0,0.9285249154668886,0.006237138974540985,6.377562709396483,0.6172349534718196,0.49752024043215587,0.4975202404321559,0.7767946349072807,0.03081075148823138,0.8027137247744287,0.008639148143427334,0.6518292682926828,0.021878389290286387,0.7501524390243903,0.01595344049451043,0.8,0.0917662935482247,2.95,0.049999999999999996,30.63157894736842,2.7265325389690926
constitutive,stabilize,20,0.95,0.05000000000000001,0.0,0.0,0.9446597568823158,0.002874749499438315,1.4550936919275317,0.2979700953117837,0.35937847569036857,0.35937847569036857,0.776383256622265,0.024580479195160897,0.8001405469103109,0.006577781656266308,0.7858231707317074,0.012654082204572915,0.8434451219512195,0.01075470124968199,0.65,0.1094243309804831,0.95,0.05000000000000001,13.421052631578947,2.948203724575439
constitutive,transform,20,1.0,0.0,0.0,0.0,0.947426732735931,0.0032894178132449117,0.0,0.0,0.0,0.0,0.8303708390357828,0.0101436373229328,0.8303708390357828,0.0101436373229328,0.7157774390243903,0.01572004889070771,0.7788109756097561,0.013520115328798911,0.65,0.1094243309804831,1.0,0.0,0.0,0.0
diagnostic_only,construct,20,0.0,0.0,0.95,0.05000000000000001,0.17297306366646842,0.020449428051927985,27.06835784790797,0.6479197265431748,27.06835784790797,0.647919726543175,0.02897062113015887,0.00247189505675001,0.8027137247744287,0.008639148143427334,0.4936739587421773,0.032054539668227904,0.6187473104198485,0.02876934008051695,0.15,0.08191780219091253,0.0,0.0,nan,nan
diagnostic_only,stabilize,20,0.0,0.0,0.0,0.0,0.9398499617587058,0.0034171694453572414,5.1165971675866215,0.30763545254669666,8.589131934906854,0.4225447957046854,0.2815048055780929,0.015196666167844078,0.8001405469103109,0.006577781656266308,0.7634908536585366,0.01382486781361863,0.8243902439024391,0.01178589709354505,0.5,0.11470786693528086,0.0,0.0,nan,nan
diagnostic_only,transform,20,0.0,0.0,0.0,0.0,0.8571790194958249,0.006546194256536683,0.0,0.0,0.0,0.0,0.49572974704925044,0.007470513471501738,0.49572974704925044,0.007470513471501738,0.786280487804878,0.01098396397928959,0.841310975609756,0.010707288836915699,0.7,0.10513149660756935,0.0,0.0,0.0,0.0
factorized,construct,20,0.4,0.11239029738980327,0.2,0.09176629354822471,0.757127018670291,0.07287516156755114,14.75432542476469,1.5618732750357132,8.978514217524054,2.12381341738065,0.4288364719656396,0.07571585124998435,0.8027137247744287,0.008639148143427334,0.6109698797086996,0.030113908703350505,0.714833084764783,0.026682248119834592,0.65,0.1094243309804831,1.95,0.23480114767046692,44.75,5.181526250605537
factorized,stabilize,20,0.2,0.09176629354822471,0.0,0.0,0.9539258191510795,0.0028508267017924005,4.295667836135314,0.41235921165268546,6.652140144907236,0.8405441001665028,0.39108817278462155,0.04783566642463827,0.8001405469103109,0.006577781656266308,0.7215701219512195,0.014400307937098816,0.8018292682926829,0.010561285412005347,0.45,0.11413288653790232,0.2,0.09176629354822471,14.0,6.645800679125628
factorized,transform,20,0.0,0.0,0.0,0.0,0.8685101038402827,0.005874122072026552,0.0,0.0,0.0,0.0,0.49572974704925044,0.007470513471501738,0.49572974704925044,0.007470513471501738,0.7634146341463415,0.012515156439522451,0.8202743902439025,0.009917419736832423,0.65,0.10942433098048311,0.0,0.0,0.0,0.0
random_design,construct,20,0.85,0.08191780219091253,0.0,0.0,0.9265670322890089,0.006267902180866148,7.456841439593575,0.9129716324391534,1.3487278683858723,0.7456133658465468,0.7192136213643925,0.04393818408950078,0.8027137247744287,0.008639148143427334,0.6621951219512195,0.024931661269328154,0.74375,0.01918230817810175,0.75,0.09933992677987828,2.85,0.08191780219091253,35.35294117647059,4.614508112584402
